Shoulder_Pan,Shoulder_Lift,Elbow,Wrist_1,Wrist_2,Wrist_3,TCP_X,TCP_Y,TCP_Z,Orientation_X,Orientation_Y,Orientation_Z
1.48697,-1.65249,0.498177,1.00382,-0.39754,-2.17514,-0.097196,0.146845,0.777881,-0.165516,0.657526,-0.735027
0.212271,-0.6322,1.94102,1.02316,1.89012,1.50052,0.344486,0.185899,0.0267216,0.677108,0.214125,-0.704042
-2.86186,-0.359456,3.04357,3.00988,-0.759854,-1.73693,-0.0645522,-0.132108,-0.0132832,-0.591077,-0.288314,-0.753328
-2.33542,0.310381,2.83472,0.165131,-2.86779,-1.9687,0.0591544,-0.0960059,0.0540388,-0.286095,-0.449584,0.846182
-2.28951,0.30991,2.8111,-1.19079,1.05735,-1.86062,0.132202,-0.0146527,-0.0152368,0.435788,0.876237,0.205662
2.11162,0.309719,2.7961,-1.3413,-1.26244,2.69859,-0.0523342,-0.124864,-0.0361835,-0.927384,-0.127848,-0.351588
-2.29965,-1.28308,0.110871,-0.469149,0.437989,-0.55438,-0.16318,-0.346646,0.864862,-0.1169,-0.672351,-0.730943
0.623015,-1.78218,-1.62443,-0.796755,1.99777,2.28616,-0.51066,-0.232493,0.448087,0.991157,-0.0230011,-0.130683
2.90978,-0.250689,-1.6084,1.21438,-1.65072,-1.61432,-0.3726,-0.0241935,0.495,-0.5916,0.0950942,-0.800603
3.14105,-0.458484,1.24757,-2.2268,-2.10077,0.262173,-0.751319,-0.108744,-0.0136821,0.192555,0.833235,0.518307
2.29642,-0.636529,2.46529,-3.14179,-0.0152252,-2.54845,-0.302783,0.176851,-0.0616169,-0.508372,0.554073,0.659213
1.40723,-0.641189,2.45399,-3.1415,3.08612,-0.573119,-0.0525764,0.351731,-0.0601392,0.0725156,0.725443,0.684452
1.1878,-0.622205,2.24014,-3.14164,3.07044,0.529277,0.0562402,0.431673,-0.0594091,-0.230249,-0.407281,0.883803
2.33758,0.309741,-2.16439,0.472675,0.804985,-2.52173,-0.347732,0.203607,0.318401,-0.0468474,0.894252,0.445104
-3.11001,-1.35848,0.240435,1.1766,-0.224645,-2.59962,-0.252033,-0.117166,0.762857,-0.797121,-0.216113,-0.56382
1.97597,0.0265391,-0.629747,1.11416,0.361623,-1.82879,-0.376863,0.601763,0.217839,0.187283,-0.207654,-0.960107
-1.34401,-1.43813,-1.02356,-0.466897,-1.41015,0.858874,0.0549097,0.247484,0.849549,-0.641388,-0.0885677,-0.762087
-2.91892,-2.23244,-0.779051,2.92552,0.283124,2.86256,0.650189,0.0353044,0.381067,-0.933177,0.064057,0.353662
-3.03953,-1.27078,-0.705648,3.14159,2.29357,3.13975,0.126664,-0.0967488,0.818246,0.181568,0.772489,0.608517
-0.97707,-2.0772,-1.02584,-1.6499,-2.96558,-0.0548451,-0.297048,0.635194,0.4721,-0.153264,-0.0854511,-0.984484
2.48914,-0.0125953,-2.50336,0.857396,0.609353,-1.82645,-0.22622,0.0354862,0.332515,-0.663498,0.689113,0.291365
2.43762,-0.942945,1.77117,0.697869,-2.20907,2.90371,-0.391053,0.188855,0.139896,-0.664905,-0.459344,0.588986
1.63317,-0.51609,1.58004,3.14159,0.181347,-0.263523,-0.149007,0.634749,0.00189803,-0.216721,0.67652,-0.703813
2.20061,-0.62308,2.419,0.241388,1.27583,-1.04427,-0.190127,0.07555,-0.00261741,0.0275248,-0.854126,0.519338
2.8183,-0.287999,1.01347,1.15687,0.805396,0.138466,-0.613908,0.0905733,-0.0213668,-0.550914,-0.568643,0.610851
2.66406,0.310212,-0.481027,2.88224,-1.21771,-3.0509,-0.717849,0.248569,0.112127,-0.117925,-0.991129,-0.0612927
2.60008,-0.699801,2.3674,-3.14166,2.11511,0.761193,-0.3831,0.103057,-0.0366684,0.238053,-0.865979,0.439784
2.4026,-0.648813,2.13321,-3.13952,2.25378,-1.14518,-0.418553,0.233733,-0.0368536,-0.870305,0.359765,0.33636
-2.96903,-1.41301,-0.582547,-0.533548,0.842274,1.9982,0.0585898,-0.100584,0.943718,0.684764,0.433304,-0.585958
1.34229,-2.38142,-2.2713,1.11534,3.12093,2.83619,-0.189648,-0.333598,0.0777863,0.244748,0.965384,0.0901792
-1.69398,0.310052,-1.07674,1.07492,2.01037,2.6732,0.0274104,-0.666945,0.141423,-0.773718,0.32237,0.545379
1.44914,-1.73381,-1.0066,2.95343,2.35457,-2.10159,-0.162966,-0.433516,0.569191,0.291365,-0.57119,-0.767364
0.205339,-0.627451,1.98963,0.67694,0.364738,0.378292,0.311411,0.176351,-0.00235199,0.638705,0.471624,0.607969
-1.6525,0.310183,2.80836,-1.21466,0.89628,-0.0861958,0.11506,0.0677116,-0.0186588,0.765551,-0.185171,0.616152
1.61658,-0.513911,-0.199193,-1.3365,2.15523,1.06341,-0.143401,0.744998,0.598295,-0.363664,-0.916846,-0.16475
1.52108,0.0755348,0.14421,-1.44171,3.11713,0.374359,-0.0645134,0.899873,-0.0607668,-0.02401,-0.0244593,0.999412
1.32478,0.310034,-1.27462,1.90816,2.33693,-0.0496051,0.0284719,0.561565,0.226301,-0.608831,0.530536,-0.589793
0.35879,-0.126782,-0.368675,0.495388,-1.76815,1.06088,0.679531,0.371412,0.234736,0.25762,-0.414563,0.872794
-0.0825633,0.012675,0.121269,0.950845,1.65826,1.77897,0.736527,0.0485744,-0.0128214,0.836786,-0.275831,0.472977
-0.0743645,-0.079828,0.501172,2.00224,-2.15787,2.15673,0.725443,0.0554056,0.0339074,0.810886,0.401256,-0.425978
-0.265171,0.310133,-1.01348,-1.88645,-3.13333,-0.0481412,0.755772,-0.0921387,0.293755,-0.798659,0.208337,0.56457
2.57323,-2.19452,-0.573552,-2.9744,2.79502,1.81495,0.499297,-0.448396,0.496121,-0.212481,0.233132,0.948947
-1.27116,-0.82951,-1.09113,1.46312,-0.183861,2.63456,0.16165,-0.153464,0.686214,0.316983,-0.484588,0.815289
2.40652,-0.274845,-2.81819,2.10329,0.774617,-1.1908,-0.144692,-0.0163305,0.17159,-0.641864,0.230565,-0.731334
1.08292,-0.478334,1.45646,3.08336,-0.760519,1.97292,0.218444,0.644498,0.0167835,-0.661994,-0.671967,-0.332
